"YEAR","est","lwr","upr","log_est","se","log10_est","log10_lwr","log10_upr"
1993,19782073.6862914,2315007.11417151,169040707.0174,16.8002867161911,1.09459327545787,7.29627181523432,6.36455232997198,8.22799130049665
1994,18934016.5563403,2260914.38633368,158562829.766017,16.7564706800944,1.08430094211581,7.27724275253862,6.35428411730032,8.20020138777692
1995,17001549.3711824,3406372.5390713,84856449.9934464,16.6488150373489,0.820247993590702,7.23048850094849,6.5322921429852,7.92868485891179
1996,2720075.65679988,85629.8244372237,86404609.9281621,14.8161702528853,1.76451269635305,6.4345809837672,4.93262505360927,7.93653691392512
1997,9168088.06824098,1516591.44305068,55422862.3748166,16.0312393239377,0.918008409894092,6.96227877645658,6.18086860127051,7.74368895164265
1998,26918663.331581,5383818.93595406,134591159.951518,17.1083304081492,0.821148705346801,7.43005349083682,6.73109044563674,8.1290165360369
1999,8631407.45178149,1612102.77140003,46213675.6541698,15.9709181380335,0.856070926446374,6.9360816182765,6.20739272458397,7.66477051196903
2000,46187604.3965724,10129026.8928585,210612018.554157,17.6482220169478,0.774150045212452,7.66452543736389,7.0055677241992,8.32348315052858
2002,36239341.7236513,1802079.187072,728763695.838137,17.4056558746157,1.53125477718609,7.55918030025251,6.25577387085659,8.86258672964842
2003,16997720.3809927,4593350.21682176,62900167.5274672,16.6485897977932,0.667598791400617,7.23039068065236,6.66212955916378,7.79865180214094
2004,54919021.5736624,6303549.31941233,478476296.095609,17.8213703232221,1.10448300251593,7.73972279132975,6.79958515513361,8.67986042752588
2005,30313029.6708947,3988181.38845207,230400696.038849,17.2270882001883,1.03483651923892,7.48162934460241,6.60077490245114,8.36248378675367
2006,4539140.78698296,696516.525406485,29581206.3784532,15.3282482981382,0.956344868909537,6.65697365312434,5.84293142486294,7.47101588138575
2007,7722105.17906965,1395338.87113272,42735789.5850824,15.8595975764167,0.872949568359434,6.88773571264396,6.14467969290767,7.63079173238025
2008,8301249.73267497,1971871.45249285,34946875.9929148,15.9319166316341,0.733392560942418,6.91914347926132,6.29487859960484,7.5434083589178
2009,12048988.7298786,3415640.88828882,42503920.6874797,16.3044912915476,0.643183037803684,7.08095059815873,6.53347220381062,7.62842899250685
2010,24666526.2795814,5959556.16827768,102094434.807067,17.0209576711158,0.724733267785182,7.39210799327442,6.77521391731653,8.00900206923232
2011,28114849.3696594,6584290.9927159,120050094.376615,17.1518084420437,0.74063158108102,7.44893576104119,6.81850901627137,8.07936250581101
2012,26376080.9458834,14906298.5388692,46671388.2222146,17.0879681326509,0.291165416726198,7.42121026694889,7.17336981490075,7.66905071899702
2013,600452.574923186,71492.7706715061,5043073.4652669,13.305438941402,1.08577879191013,5.77847871155155,4.85426212828768,6.70269529481542
2014,101957592.936657,49008212.5065826,212114464.612247,18.4400675292753,0.373766605329137,8.00841957388759,7.69026886262925,8.32657028514592
2015,29704443.0062842,7032867.85627052,125461469.253525,17.2068071887557,0.735065579829334,7.47282141324982,6.84713245733496,8.09851036916467
2016,11077663.0398138,6036094.1929033,20330136.4262893,16.220441300053,0.30978813942913,7.04444815064862,6.78075600829688,7.30814029300035
2017,4659432.01848591,883726.311843534,24566776.4373814,15.3544041142282,0.848230597932203,6.66833297972191,5.94631778575996,7.39034817368386
2018,14061423.9862705,7642219.98906328,25872540.2834026,16.4589457184695,0.311101137500623,7.14802930347646,6.88321953514003,7.41283907181288
2019,10223516.2733593,1974687.75422197,52930031.4787358,16.1402011416241,0.838933934451699,7.0096002926159,6.2954984329553,7.7237021522765
2021,4346342.78294513,811656.527856198,23274248.3286059,15.2848453098923,0.856144698945063,6.63812397483103,5.90937228587377,7.36687566378828
2022,5837728.90891325,1108230.16563012,30750903.4412403,15.5798523937088,0.847759219753868,6.7662439234549,6.04462996732578,7.48785787958401
2023,4585230.21938417,749370.308936664,28056003.7060806,15.3383508738373,0.924181435653153,6.66136114600345,5.87469648176496,7.44802581024193
2025,33698909.4209919,5762052.7279563,197085405.111695,17.332976033404,0.9011245623741,7.52761584626869,6.76057722814705,8.29465446439034
