"YEAR","est","lwr","upr","log_est","se","log10_est","log10_lwr","log10_upr"
1993,907324864.70657,317120716.386263,2595978022.17395,20.6260111189297,0.536345595674133,8.9577628126263,8.50122461389199,9.41430101136062
1994,879123206.40126,346228349.484282,2232219323.41597,20.5944356123814,0.475430433817112,8.94404974436905,8.53936262541261,9.34873686332548
1995,405836682.73142,166861840.231616,987064584.81953,19.8214613773558,0.453469890463563,8.60835129944406,8.22235702888,8.99434557000812
1996,469946184.677957,170147830.025013,1297985501.55416,19.9681287454275,0.518351637028605,8.67204812807286,8.23082641470616,9.11326984143955
1997,856836845.308132,395819250.601634,1854809684.87934,20.5687580795674,0.394032675352445,8.93289813355904,8.59749691222196,9.26829935489612
1998,749818978.801655,339404127.486957,1656516392.81482,20.4353423737644,0.404415748553492,8.8749564287296,8.53071711946047,9.21919573799872
1999,483448518.673572,228038118.013612,1024927201.83614,19.9964553908154,0.383390735507096,8.68435023385568,8.35800744813776,9.0106930195736
2000,390226942.783873,173852953.297005,875895772.75862,19.7822390324212,0.412517084451058,8.59131725147164,8.24018207258441,8.94245243035888
2002,931777578.335066,417174759.874726,2081164871.40468,20.6526046943134,0.410001877714763,8.96931225566949,8.6203180246377,9.31830648670129
2003,527866373.198604,255989048.159884,1088495425.70983,20.0843537285769,0.369245819505931,8.72252399691394,8.40822138552485,9.03682660830302
2004,1484900246.98859,603718253.40314,3652247933.66385,21.1186134331998,0.45918968976231,9.17169727948654,8.78083430693251,9.56256025204057
2005,1275505659.04432,822848014.586694,1977175198.10906,20.9666085322625,0.223640060004605,9.10568238978726,8.91531962558668,9.29604515398784
2006,456474406.146907,248023227.901153,840118424.513912,19.939043191032,0.311235428410196,8.65941643229579,8.39449235532989,8.92434050926169
2007,490802167.991815,250089994.860132,963200340.102313,20.0115516880525,0.343996268748138,8.69090647244291,8.39809631762434,8.98371662726148
2008,333143571.451703,162970270.897246,681011564.799894,19.6240841005288,0.364805553145705,8.522631437265,8.21210838745403,8.83315448707597
2009,306050936.941682,156147992.891293,599861543.32506,19.5392621066574,0.343346777837162,8.4857937133826,8.19353640622976,8.77805102053544
2010,504502619.731112,235608170.525465,1080280419.59625,20.0390835904721,0.388478006579671,8.70286342574005,8.3721903470344,9.0335365044457
2011,224466106.862016,109001675.856988,462240903.487539,19.2292352820878,0.36855854131797,8.35115077423006,8.03743317509519,8.66486837336493
2012,265635971.955901,153847918.577532,458650791.309839,19.3976374029768,0.278659340963342,8.42428688607295,8.18709162501372,8.66148214713218
2013,531903405.220105,234818009.750809,1204853208.59751,20.0919724616851,0.417176602550702,8.72583277066194,8.37073140277765,9.08093413854622
2014,2518428465.29149,1477367647.99549,4293096537.88345,21.6469009190505,0.272134181224967,9.40112961945008,9.16948858442987,9.63277065447028
2015,1764900961.05534,861750732.80053,3614589792.35365,21.2913604130408,0.365763761462621,9.24672033959695,8.9353816613879,9.558059017806
2016,1898983088.78561,1217235537.34831,2962562840.83649,21.3645843634107,0.226910389872811,9.27852109718578,9.08537462315456,9.471667571217
2017,1102778813.53547,496498147.393436,2449397078.25136,20.8210990254091,0.407154785288724,9.04248841389636,8.69591763233128,9.38905919546143
2018,2246895418.28932,1594767350.04151,3165689980.17052,21.5328152862491,0.174912186372715,9.35158285865996,9.20269733569242,9.5004683816275
2019,3222681446.49844,1694626226.67318,6128593752.49609,21.8934795973208,0.327940494910122,9.50821737877784,9.22907392342771,9.78736083412798
2021,1457710705.74376,739643575.056166,2872897938.00833,21.1001330322882,0.346156391056153,9.1636713433473,8.86902248908662,9.45832019760799
2022,2771635311.86221,1350401955.63922,5688648679.66309,21.7427033482418,0.366861444351034,9.44273608580079,9.13046305822316,9.75500911337842
2023,1376191130.43871,671529117.996699,2820282809.40082,21.0425854697466,0.366087101499174,9.13867875448847,8.82706484874133,9.45029266023563
2025,1183282391.6813,493510943.054611,2837135099.3692,20.8915581015556,0.446182949016137,9.07308840186676,8.69329678710807,9.45288001662545
