"YEAR","est","lwr","upr","log_est","se","log10_est","log10_lwr","log10_upr"
2000,4535022045.35722,2019031175.22849,10186283998.0906,22.235095781661,0.412870935874619,9.65657940256562,9.30514302480059,10.0080157803307
2003,3833141955.15717,2509443157.38044,5855074742.44755,22.0669506576596,0.216138635797649,9.5835549030529,9.39957736271359,9.76753244339222
2004,4225958444.2105,2995186677.52693,5962474695.2132,22.1645119227295,0.175635638791454,9.62592522212027,9.47642389533745,9.77542654890308
2005,4977937192.36768,3413837787.11538,7258651475.67419,22.3282814237708,0.192441534937392,9.69704941272653,9.53324288120919,9.86085594424387
2006,2600859311.76199,1692701922.02459,3996255378.19927,21.6791077318931,0.219144777987659,9.4151168605473,9.22858048733672,9.60165323375787
2007,4148431225.51931,2962640684.00156,5808831872.79369,22.1459960817751,0.171762978238281,9.61788389456595,9.47167898242234,9.76408880670955
2008,2178546831.18477,1573147862.37605,3016923208.03007,21.5019239002771,0.166115013337656,9.33816690019398,9.19676954448981,9.47956425589815
2009,3174096183.6332,2045020369.23523,4926545835.19994,21.8782887621936,0.224297578304224,9.50162008290662,9.31069763811471,9.69254252769853
2010,2471285291.70685,1706254244.02172,3579332338.31057,21.6280042132604,0.189002406140699,9.39292288439926,9.23204374462098,9.55380202417754
2011,2504419696.6047,1530355709.75711,4098470686.75104,21.6413228866043,0.251309133801999,9.39870711073882,9.18479238822257,9.61262183325507
2012,1852792729.61025,1210284880.27418,2836390799.26282,21.3399599213339,0.217268438402889,9.26782683787185,9.08288760781143,9.45276606793228
2014,5911821850.76116,3750173131.21249,9319473094.25614,22.5002198866405,0.232224697006862,9.77172133837779,9.57405131791294,9.96939135884263
2015,2791912360.81752,1765368178.28152,4415381859.93213,21.7499926319619,0.233865280386113,9.44590178149743,9.24683529392839,9.64496826906646
2016,11300499386.7802,7502445751.70634,17021287539.6768,23.1481127552086,0.208992539598955,10.0530976360614,9.87520286383434,10.2309924082884
2017,5716594545.20603,3064401184.97052,10664221562.9458,22.4666391058117,0.318128851057401,9.75713739056584,9.48634562160461,10.0279291595271
2018,9855055433.51635,5411835467.31322,17946243595.9638,23.0112504024481,0.30582003640912,9.99365907147721,9.73334458453975,10.2539735584147
2019,12414305207.4478,6490208420.9045,23745766513.0248,23.2421152903814,0.330901391142603,10.0939224183718,9.81225864357931,10.3755861931644
2020,5943364022.55204,3349643746.2478,10545472468.2691,22.5055411437775,0.292567269386474,9.77403233098916,9.52499861979324,10.0230660421851
2022,6030692460.21697,3326793162.11849,10932225051.9951,22.5201276769493,0.303502012831719,9.78036718185576,9.52202580016458,10.0387085635469
2023,4372196276.18693,2273652020.56055,8407663136.06333,22.1985313001658,0.333617408287888,9.64069965001864,9.35672399724065,9.92467530279663
