"","year","north_south","mean_peak","sd"
"1",1998,"north",153.933333333333,11.1292356882964
"2",1998,"south",151.518518518519,16.2117366531464
"3",1999,"north",145.698412698413,13.0614366159353
"4",1999,"south",140.571428571429,16.0304904284499
"5",2000,"north",138.575757575758,13.5306610288924
"6",2000,"south",147.109090909091,15.8484404271545
"7",2001,"north",134.485714285714,15.9007272253188
"8",2001,"south",141.142857142857,14.9075070428884
"9",2002,"north",142,14.7046030926603
"10",2002,"south",135.857142857143,23.407402536516
"11",2003,"north",127.222222222222,14.7831482116805
"12",2003,"south",115.428571428571,27.8142260153176
"13",2004,"north",128.777777777778,10.8228009472728
"14",2004,"south",128.285714285714,19.4634522638193
"15",2005,"north",133.579710144928,14.2791557225924
"16",2005,"south",121.285714285714,18.6817502447654
"17",2006,"north",146.633802816901,7.07760943624272
"18",2006,"south",139.857142857143,18.2063211514608
"19",2007,"north",140.072463768116,9.15603118582903
"20",2007,"south",124.418181818182,21.3807553733889
"21",2008,"north",147.840579710145,9.63086824686154
"22",2008,"south",133,15.5575179137407
"23",2009,"north",145.985507246377,8.79587596150001
"24",2009,"south",139.714285714286,16.1287031386614
"25",2010,"north",143.555555555556,7.20893203570832
"26",2010,"south",129,14.2292911725331
"27",2011,"north",138.555555555556,10.1937413674908
"28",2011,"south",136.142857142857,16.6191877839262
"29",2012,"north",148.714285714286,11.5139666740628
"30",2012,"south",133.470588235294,14.5249481116821
"31",2013,"north",144.515151515152,14.5921395323145
"32",2013,"south",130.584905660377,15.339032617005
"33",2014,"north",133.253968253968,16.9990210856374
"34",2014,"south",126.714285714286,10.3145339395249
"35",2015,"north",136.492957746479,14.8582571939325
"36",2015,"south",145.428571428571,11.80886745837
"37",2016,"north",132.657142857143,17.5184256739936
"38",2016,"south",132.714285714286,13.470120854846
"39",2017,"north",132.444444444444,6.8892422545546
"40",2017,"south",114.714285714286,18.2883115038633
"41",2018,"north",145.111111111111,24.6482611194549
"42",2018,"south",154.285714285714,12.0388979950436
"43",2019,"north",129.888888888889,26.0203363347478
"44",2019,"south",119.857142857143,18.6483521781695
"45",2020,"north",138.028571428571,15.1771867593967
"46",2020,"south",130.571428571429,16.2109470788972
"47",2021,"north",137.457142857143,7.89915738358215
"48",2021,"south",135,16.3773679759045
"49",2022,"north",129.169014084507,18.3855423910769
"50",2022,"south",122.571428571429,13.7230491481331
"51",2023,"north",142.882352941176,21.0582202276725
"52",2023,"south",127.714285714286,29.116514705085
"53",2024,"north",147.285714285714,13.7484047634761
"54",2024,"south",139.571428571429,24.9791601451779
