year,north_south,ice_free,ice_full,perc_open_water
1998,north,19,53,26.38888888888889
1998,south,53,3,94.64285714285714
1999,north,2,70,2.7777777777777777
1999,south,33,23,58.92857142857143
2000,north,4,68,5.555555555555555
2000,south,55,1,98.21428571428571
2001,north,3,69,4.166666666666666
2001,south,55,1,98.21428571428571
2002,north,10,62,13.88888888888889
2002,south,56,0,100
2003,north,12,60,16.666666666666664
2003,south,37,19,66.07142857142857
2004,north,8,64,11.11111111111111
2004,south,44,12,78.57142857142857
2005,north,3,69,4.166666666666666
2005,south,44,12,78.57142857142857
2006,north,0,72,0
2006,south,31,25,55.35714285714286
2007,north,7,65,9.722222222222223
2007,south,18,38,32.142857142857146
2008,north,1,71,1.3888888888888888
2008,south,21,35,37.5
2009,north,7,65,9.722222222222223
2009,south,25,31,44.642857142857146
2010,north,2,70,2.7777777777777777
2010,south,13,43,23.214285714285715
2011,north,5,67,6.944444444444445
2011,south,29,27,51.78571428571429
2012,north,6,66,8.333333333333332
2012,south,10,46,17.857142857142858
2013,north,3,69,4.166666666666666
2013,south,21,35,37.5
2014,north,14,58,19.444444444444446
2014,south,52,4,92.85714285714286
2015,north,10,62,13.88888888888889
2015,south,47,9,83.92857142857143
2016,north,12,60,16.666666666666664
2016,south,49,7,87.5
2017,north,17,55,23.61111111111111
2017,south,17,39,30.357142857142854
2018,north,63,9,87.5
2018,south,56,0,100
2019,north,26,46,36.11111111111111
2019,south,56,0,100
2020,north,10,62,13.88888888888889
2020,south,50,6,89.28571428571429
2021,north,4,68,5.555555555555555
2021,south,56,0,100
2022,north,6,66,8.333333333333332
2022,south,26,30,46.42857142857143
2023,north,8,64,11.11111111111111
2023,south,34,22,60.71428571428571
2024,north,1,71,1.3888888888888888
2024,south,35,21,62.5
