year,north_south,ice_free,ice_full,perc_open_water
1998,north,15,57,20.833333333333336
1998,south,53,3,94.64285714285714
1999,north,2,70,2.7777777777777777
1999,south,36,20,64.28571428571429
2000,north,3,69,4.166666666666666
2000,south,55,1,98.21428571428571
2001,north,5,67,6.944444444444445
2001,south,54,2,96.42857142857143
2002,north,16,56,22.22222222222222
2002,south,56,0,100
2003,north,4,68,5.555555555555555
2003,south,38,18,67.85714285714286
2004,north,8,64,11.11111111111111
2004,south,45,11,80.35714285714286
2005,north,0,72,0
2005,south,44,12,78.57142857142857
2006,north,0,72,0
2006,south,29,27,51.78571428571429
2007,north,6,66,8.333333333333332
2007,south,19,37,33.92857142857143
2008,north,0,72,0
2008,south,25,31,44.642857142857146
2009,north,2,70,2.7777777777777777
2009,south,26,30,46.42857142857143
2010,north,2,70,2.7777777777777777
2010,south,12,44,21.428571428571427
2011,north,4,68,5.555555555555555
2011,south,31,25,55.35714285714286
2012,north,0,72,0
2012,south,11,45,19.642857142857142
2013,north,1,71,1.3888888888888888
2013,south,24,32,42.857142857142854
2014,north,10,62,13.88888888888889
2014,south,51,5,91.07142857142857
2015,north,3,69,4.166666666666666
2015,south,39,17,69.64285714285714
2016,north,6,66,8.333333333333332
2016,south,49,7,87.5
2017,north,11,61,15.277777777777779
2017,south,14,42,25
2018,north,48,24,66.66666666666666
2018,south,56,0,100
2019,north,26,46,36.11111111111111
2019,south,56,0,100
2020,north,11,61,15.277777777777779
2020,south,49,7,87.5
2021,north,3,69,4.166666666666666
2021,south,56,0,100
2022,north,5,67,6.944444444444445
2022,south,23,33,41.07142857142857
2023,north,9,63,12.5
2023,south,34,22,60.71428571428571
2024,north,0,72,0
2024,south,40,16,71.42857142857143
2025,north,0,72,0
2025,south,0,56,0
