"","year","name","value"
"1",1998,"Bloom timing",151.518518518519
"2",1999,"Bloom timing",140.571428571429
"3",2000,"Bloom timing",147.109090909091
"4",2001,"Bloom timing",141.142857142857
"5",2002,"Bloom timing",135.857142857143
"6",2003,"Bloom timing",115.428571428571
"7",2004,"Bloom timing",128.285714285714
"8",2005,"Bloom timing",121.285714285714
"9",2006,"Bloom timing",139.857142857143
"10",2007,"Bloom timing",124.418181818182
"11",2008,"Bloom timing",133
"12",2009,"Bloom timing",139.714285714286
"13",2010,"Bloom timing",129
"14",2011,"Bloom timing",136.142857142857
"15",2012,"Bloom timing",133.470588235294
"16",2013,"Bloom timing",130.584905660377
"17",2014,"Bloom timing",126.714285714286
"18",2015,"Bloom timing",145.428571428571
"19",2016,"Bloom timing",132.714285714286
"20",2017,"Bloom timing",114.714285714286
"21",2018,"Bloom timing",154.285714285714
"22",2019,"Bloom timing",119.857142857143
"23",2020,"Bloom timing",130.571428571429
"24",2021,"Bloom timing",135
"25",2022,"Bloom timing",122.571428571429
"26",2023,"Bloom timing",127.714285714286
"27",2024,"Bloom timing",139.571428571429
