"","YEAR","mean_cod_CPUE","mean_arctic_CPUE"
"1",1988,6.01253621211123,6.70619400348105
"2",1989,6.75295641736265,6.44655303268887
"3",1990,5.64033943891089,6.73866674498335
"4",1991,5.76206111342312,6.67415452005212
"5",1992,5.60214308189464,6.8136684038233
"6",1993,6.42792053593496,6.83374033957525
"7",1994,6.16325849719998,6.91553095265217
"8",1995,5.52023162187185,6.57814805645638
"9",1996,6.83711305218565,6.76690401034295
"10",1997,6.41861840973977,6.81340620232588
"11",1998,6.44157290588634,6.56078547967795
"12",1999,5.56370442477894,6.29649961009121
"13",2000,6.16238217819412,6.25969207662553
"14",2001,6.54533553490565,6.55936920993492
"15",2002,6.85815092889448,6.13988774452883
"16",2003,6.80248579773016,6.13227918429537
"17",2004,6.68350611292894,6.46236044761387
"18",2005,6.80043055374816,6.43570116331271
"19",2006,5.93027879033647,6.37701212864347
"20",2007,5.90269115502163,6.26106111843658
"21",2008,5.56733899092898,6.02560459340176
"22",2009,5.51729214607788,5.64003990073653
"23",2010,5.42332386231726,6.06960514680136
"24",2011,6.49193604562128,6.2115444030949
"25",2012,5.48097622225653,6.22519908670349
"26",2013,5.84665100891009,6.00915733327468
"27",2014,6.93498287090983,6.25586176415144
"28",2015,6.68468642954555,6.19143644608301
"29",2016,7.37107213286133,6.43188816654802
"30",2017,6.68489955085926,6.37221650744968
"31",2018,6.54432312761609,6.25063618133391
"32",2019,6.86206311335839,6.17066304072876
"33",2021,7.06870965287215,5.84954451818694
"34",2022,6.78256042756761,5.62683502638728
"35",2023,6.52646456195377,5.57917981287756
"36",2024,6.69225559873984,5.27745779828561
