"","year","name","log_abundance"
"1",2000,"small copepods",16.9696463272084
"2",2003,"small copepods",11.5699598862723
"3",2004,"small copepods",14.9396033160781
"4",2005,"small copepods",13.3419137037643
"5",2006,"small copepods",14.2900359711254
"6",2007,"small copepods",15.0532988337613
"7",2008,"small copepods",16.8851742661788
"8",2009,"small copepods",16.7719247866607
"9",2010,"small copepods",17.5320224208599
"10",2011,"small copepods",17.3191471795431
"11",2012,"small copepods",17.1936909242102
"12",2014,"small copepods",14.9507305651047
"13",2015,"small copepods",14.0674826648534
"14",2016,"small copepods",13.2749301942594
"15",2017,"small copepods",15.2125362152905
"16",2018,"small copepods",11.5858378494698
"17",2019,"small copepods",13.5569485332533
"18",2020,"small copepods",15.1747795896004
"19",2022,"small copepods",13.4558829154331
"20",2023,"small copepods",14.3750758600711
"21",2000,"large copepods",22.235095783866
"22",2003,"large copepods",22.0669506602684
"23",2004,"large copepods",22.1645119250959
"24",2005,"large copepods",22.3282814257796
"25",2006,"large copepods",21.679107735738
"26",2007,"large copepods",22.1459960841856
"27",2008,"large copepods",21.5019239048673
"28",2009,"large copepods",21.8782887653441
"29",2010,"large copepods",21.6280042173068
"30",2011,"large copepods",21.6413228905973
"31",2012,"large copepods",21.3399599267311
"32",2014,"large copepods",22.500219888332
"33",2015,"large copepods",21.7499926355436
"34",2016,"large copepods",23.1481127560935
"35",2017,"large copepods",22.466639107561
"36",2018,"large copepods",23.0112504034629
"37",2019,"large copepods",23.2421152911869
"38",2020,"large copepods",22.50554114546
"39",2022,"large copepods",22.5201276786074
"40",2023,"large copepods",22.198531302453
