"year","taxa","log_abundance"
2005,"Pseudocalanus",2.59639299085346
2005,"Calanus_glacialis",1.13068250686907
2006,"Pseudocalanus",2.59487515601369
2006,"Calanus_glacialis",0.489625931393768
2007,"Pseudocalanus",2.54379843653186
2007,"Calanus_glacialis",0.701033346168452
2008,"Pseudocalanus",2.62633135393041
2008,"Calanus_glacialis",1.22728606336921
2009,"Pseudocalanus",2.44937800057831
2009,"Calanus_glacialis",1.43054445067702
2010,"Pseudocalanus",2.48772658902909
2010,"Calanus_glacialis",1.63402799159502
2011,"Pseudocalanus",1.24149125725077
2011,"Calanus_glacialis",1.22576684682517
2012,"Pseudocalanus",1.6798083536471
2012,"Calanus_glacialis",1.49917099378592
2013,"Pseudocalanus",3.00148635435254
2013,"Calanus_glacialis",1.42409719822138
2014,"Pseudocalanus",2.59354201270044
2014,"Calanus_glacialis",2.35957564190576
2015,"Pseudocalanus",3.2608602163725
2015,"Calanus_glacialis",1.56402923481183
2016,"Pseudocalanus",2.95936518465856
2016,"Calanus_glacialis",1.45720508037408
2017,"Pseudocalanus",3.03768743804006
2017,"Calanus_glacialis",0.835430196286
2018,"Pseudocalanus",3.06804005234265
2018,"Calanus_glacialis",1.47037512514343
2019,"Pseudocalanus",2.99636787325247
2019,"Calanus_glacialis",0.991595942212233
2021,"Pseudocalanus",2.98536394560846
2021,"Calanus_glacialis",0.904062920717006
2022,"Pseudocalanus",1.66458794656242
2022,"Calanus_glacialis",0.810442424991628
2023,"Pseudocalanus",1.92772647850291
2023,"Calanus_glacialis",1.20225450466885
