"","year","name","value"
"1",1998,"Open water bloom",53
"2",1999,"Open water bloom",36
"3",2000,"Open water bloom",55
"4",2001,"Open water bloom",54
"5",2002,"Open water bloom",56
"6",2003,"Open water bloom",38
"7",2004,"Open water bloom",45
"8",2005,"Open water bloom",44
"9",2006,"Open water bloom",29
"10",2007,"Open water bloom",19
"11",2008,"Open water bloom",25
"12",2009,"Open water bloom",26
"13",2010,"Open water bloom",12
"14",2011,"Open water bloom",31
"15",2012,"Open water bloom",11
"16",2013,"Open water bloom",24
"17",2014,"Open water bloom",51
"18",2015,"Open water bloom",39
"19",2016,"Open water bloom",49
"20",2017,"Open water bloom",14
"21",2018,"Open water bloom",56
"22",2019,"Open water bloom",56
"23",2020,"Open water bloom",49
"24",2021,"Open water bloom",56
"25",2022,"Open water bloom",23
"26",2023,"Open water bloom",34
"27",2024,"Open water bloom",40
"28",2025,"Open water bloom",NA
