"year","value","name"
1975,0.956040479050465,"Bottom temperature"
1976,0.953177909867492,"Bottom temperature"
1977,2.70646795417079,"Bottom temperature"
1978,3.28514803064967,"Bottom temperature"
1979,3.85147107909716,"Bottom temperature"
1980,3.30892605889158,"Bottom temperature"
1981,3.91835940415717,"Bottom temperature"
1982,2.90244332516834,"Bottom temperature"
1983,2.64668001695114,"Bottom temperature"
1984,1.37576827759148,"Bottom temperature"
1985,1.94525267148253,"Bottom temperature"
1986,1.53948688212641,"Bottom temperature"
1987,3.74748842747061,"Bottom temperature"
1988,1.81898420575503,"Bottom temperature"
1989,3.42357222012098,"Bottom temperature"
1990,2.06743041399381,"Bottom temperature"
1991,2.46986992022382,"Bottom temperature"
1992,0.688386997294865,"Bottom temperature"
1993,2.93497829477434,"Bottom temperature"
1994,1.19989519124375,"Bottom temperature"
1995,0.803728754415449,"Bottom temperature"
1996,3.15382959717294,"Bottom temperature"
1997,2.32110276758251,"Bottom temperature"
1998,3.07908165357381,"Bottom temperature"
1999,1.91216337300048,"Bottom temperature"
2000,2.65175009921435,"Bottom temperature"
2001,3.02664345366141,"Bottom temperature"
2002,3.30110661100636,"Bottom temperature"
2003,3.86973038932474,"Bottom temperature"
2004,3.29550719963378,"Bottom temperature"
2005,3.80900690979619,"Bottom temperature"
2006,1.74494386593274,"Bottom temperature"
2007,0.884375294867368,"Bottom temperature"
2008,0.95258746306805,"Bottom temperature"
2009,0.389814627389752,"Bottom temperature"
2010,0.263523598182092,"Bottom temperature"
2011,2.58906805805575,"Bottom temperature"
2012,0.198976316140551,"Bottom temperature"
2013,0.917906101003856,"Bottom temperature"
2014,3.12375308511508,"Bottom temperature"
2015,3.51975913682511,"Bottom temperature"
2016,4.5510530503275,"Bottom temperature"
2017,2.18280776826091,"Bottom temperature"
2018,4.40859210533439,"Bottom temperature"
2019,4.26409492513498,"Bottom temperature"
2020,NA,"Bottom temperature"
2021,3.97156217864133,"Bottom temperature"
2022,1.94991405776617,"Bottom temperature"
2023,2.95349921983116,"Bottom temperature"
2024,2.5559197334846,"Bottom temperature"
2025,2.68733783017819,"Bottom temperature"
