"year","name","value"
1998,"Bloom timing",149.296296296296
1999,"Bloom timing",144.714285714286
2000,"Bloom timing",144.571428571429
2001,"Bloom timing",140.857142857143
2002,"Bloom timing",137.428571428571
2003,"Bloom timing",122
2004,"Bloom timing",130.571428571429
2005,"Bloom timing",128.285714285714
2006,"Bloom timing",138.818181818182
2007,"Bloom timing",124.68
2008,"Bloom timing",134.714285714286
2009,"Bloom timing",139.285714285714
2010,"Bloom timing",127.285714285714
2011,"Bloom timing",141.571428571429
2012,"Bloom timing",131.745098039216
2013,"Bloom timing",130.230769230769
2014,"Bloom timing",127
2015,"Bloom timing",138.142857142857
2016,"Bloom timing",129.428571428571
2017,"Bloom timing",106.857142857143
2018,"Bloom timing",156.428571428571
2019,"Bloom timing",130.571428571429
2020,"Bloom timing",126.571428571429
2021,"Bloom timing",139.857142857143
2022,"Bloom timing",120.285714285714
2023,"Bloom timing",137.714285714286
2024,"Bloom timing",141.142857142857
2025,"Bloom timing",NA
1998,"Open water bloom",53
1999,"Open water bloom",36
2000,"Open water bloom",55
2001,"Open water bloom",54
2002,"Open water bloom",56
2003,"Open water bloom",38
2004,"Open water bloom",45
2005,"Open water bloom",44
2006,"Open water bloom",29
2007,"Open water bloom",19
2008,"Open water bloom",25
2009,"Open water bloom",26
2010,"Open water bloom",12
2011,"Open water bloom",31
2012,"Open water bloom",11
2013,"Open water bloom",24
2014,"Open water bloom",51
2015,"Open water bloom",39
2016,"Open water bloom",49
2017,"Open water bloom",14
2018,"Open water bloom",56
2019,"Open water bloom",56
2020,"Open water bloom",49
2021,"Open water bloom",56
2022,"Open water bloom",23
2023,"Open water bloom",34
2024,"Open water bloom",40
2025,"Open water bloom",NA
1972,"Jan-Feb ice cover",0.154219688883068
1972,"Mar-Apr ice cover",1.12366642038123
1973,"Jan-Feb ice cover",0.217675761776169
1973,"Mar-Apr ice cover",1.06350432792288
1974,"Jan-Feb ice cover",0.426492732402747
1974,"Mar-Apr ice cover",0.917671342498736
1975,"Jan-Feb ice cover",1.21192152815121
1975,"Mar-Apr ice cover",1.80235276925563
1976,"Jan-Feb ice cover",1.77739895104519
1976,"Mar-Apr ice cover",2.04845069564826
1977,"Jan-Feb ice cover",0.995711743736318
1977,"Mar-Apr ice cover",0.744174585036526
1978,"Jan-Feb ice cover",-0.33017553883051
1978,"Mar-Apr ice cover",-0.274161850274423
1979,"Jan-Feb ice cover",-1.84494235912706
1979,"Mar-Apr ice cover",-1.46531181407101
1980,"Jan-Feb ice cover",0.597880330446817
1980,"Mar-Apr ice cover",0.0325373595908183
1981,"Jan-Feb ice cover",0.438625120824493
1981,"Mar-Apr ice cover",-0.634409083217139
1982,"Jan-Feb ice cover",-0.664223932525894
1982,"Mar-Apr ice cover",-0.886408669427801
1983,"Jan-Feb ice cover",0.337654413589204
1983,"Mar-Apr ice cover",-0.127333893711219
1984,"Jan-Feb ice cover",-0.485687922000617
1984,"Mar-Apr ice cover",0.678762931420853
1985,"Jan-Feb ice cover",-1.98869532079364
1985,"Mar-Apr ice cover",0.00374569836677791
1986,"Jan-Feb ice cover",-0.705277661057904
1986,"Mar-Apr ice cover",-0.179797326292141
1987,"Jan-Feb ice cover",-0.68137802306399
1987,"Mar-Apr ice cover",-0.585585143916152
1988,"Jan-Feb ice cover",-0.466502757134361
1988,"Mar-Apr ice cover",0.591986361695492
1989,"Jan-Feb ice cover",-0.411994032114973
1989,"Mar-Apr ice cover",-1.71517582972293
1990,"Jan-Feb ice cover",0.542797938402783
1990,"Mar-Apr ice cover",0.139750440393593
1991,"Jan-Feb ice cover",0.865751636432343
1991,"Mar-Apr ice cover",0.577468130934549
1992,"Jan-Feb ice cover",0.332974182227442
1992,"Mar-Apr ice cover",0.887074985323365
1993,"Jan-Feb ice cover",-0.0197146664489016
1993,"Mar-Apr ice cover",-0.21076267372483
1994,"Jan-Feb ice cover",-0.405667191473142
1994,"Mar-Apr ice cover",0.560604805417875
1995,"Jan-Feb ice cover",0.980071210485055
1995,"Mar-Apr ice cover",0.785363697135322
1996,"Jan-Feb ice cover",-0.51338769368558
1996,"Mar-Apr ice cover",-1.26600937327019
1997,"Jan-Feb ice cover",0.0688151404769065
1997,"Mar-Apr ice cover",0.068536670986716
1998,"Jan-Feb ice cover",1.19149953433964
1998,"Mar-Apr ice cover",-0.283521854628156
1999,"Jan-Feb ice cover",0.290081832506011
1999,"Mar-Apr ice cover",0.490976919227095
2000,"Jan-Feb ice cover",1.02904982397711
2000,"Mar-Apr ice cover",-0.50321948293542
2001,"Jan-Feb ice cover",-1.86857530109925
2001,"Mar-Apr ice cover",-1.26106403079805
2002,"Jan-Feb ice cover",1.56904558779423
2002,"Mar-Apr ice cover",-0.835062880448869
2003,"Jan-Feb ice cover",-0.579457604574132
2003,"Mar-Apr ice cover",-0.85218410194532
2004,"Jan-Feb ice cover",-0.589209795179491
2004,"Mar-Apr ice cover",-0.556716056295036
2005,"Jan-Feb ice cover",-0.998988486999109
2005,"Mar-Apr ice cover",-0.554191005748558
2006,"Jan-Feb ice cover",1.05691479055359
2006,"Mar-Apr ice cover",-0.343911101768336
2007,"Jan-Feb ice cover",-0.00579692218522893
2007,"Mar-Apr ice cover",0.0689518696398963
2008,"Jan-Feb ice cover",0.310915812895511
2008,"Mar-Apr ice cover",1.24653992134482
2009,"Jan-Feb ice cover",1.21410134986538
2009,"Mar-Apr ice cover",0.421114660716403
2010,"Jan-Feb ice cover",0.65777178342323
2010,"Mar-Apr ice cover",1.05863911779848
2011,"Jan-Feb ice cover",-0.13369683914149
2011,"Mar-Apr ice cover",-0.505459791776017
2012,"Jan-Feb ice cover",1.26353374773363
2012,"Mar-Apr ice cover",1.36492901609234
2013,"Jan-Feb ice cover",0.774225569580561
2013,"Mar-Apr ice cover",0.830924347070852
2014,"Jan-Feb ice cover",-0.824344456970909
2014,"Mar-Apr ice cover",-0.688847179407455
2015,"Jan-Feb ice cover",-1.49089247783937
2015,"Mar-Apr ice cover",-0.718143321575345
2016,"Jan-Feb ice cover",-1.54776073214941
2016,"Mar-Apr ice cover",-1.01697075835019
2017,"Jan-Feb ice cover",-1.42960278773301
2017,"Mar-Apr ice cover",-0.874311128626644
2018,"Jan-Feb ice cover",-2.19422279625292
2018,"Mar-Apr ice cover",-2.61878970059395
2019,"Jan-Feb ice cover",-1.62454222250387
2019,"Mar-Apr ice cover",-2.74900796685353
2020,"Jan-Feb ice cover",-0.423249090933567
2020,"Mar-Apr ice cover",-1.07747677007002
2021,"Jan-Feb ice cover",-0.845777693720499
2021,"Mar-Apr ice cover",-0.928632327767709
2022,"Jan-Feb ice cover",0.387505356297312
2022,"Mar-Apr ice cover",-0.477093234168114
2023,"Jan-Feb ice cover",-0.299032906949141
2023,"Mar-Apr ice cover",-0.617584619499034
2024,"Jan-Feb ice cover",-0.494352744304124
2024,"Mar-Apr ice cover",-0.287256651244034
2025,"Jan-Feb ice cover",-1.38756032307503
2025,"Mar-Apr ice cover",-0.576402911850152
1975,"Bottom temperature",0.956040479050465
1976,"Bottom temperature",0.953177909867492
1977,"Bottom temperature",2.70646795417079
1978,"Bottom temperature",3.28514803064967
1979,"Bottom temperature",3.85147107909716
1980,"Bottom temperature",3.30892605889158
1981,"Bottom temperature",3.91835940415717
1982,"Bottom temperature",2.90244332516834
1983,"Bottom temperature",2.64668001695114
1984,"Bottom temperature",1.37576827759148
1985,"Bottom temperature",1.94525267148253
1986,"Bottom temperature",1.53948688212641
1987,"Bottom temperature",3.74748842747061
1988,"Bottom temperature",1.81898420575503
1989,"Bottom temperature",3.42357222012098
1990,"Bottom temperature",2.06743041399381
1991,"Bottom temperature",2.46986992022382
1992,"Bottom temperature",0.688386997294865
1993,"Bottom temperature",2.93497829477434
1994,"Bottom temperature",1.19989519124375
1995,"Bottom temperature",0.803728754415449
1996,"Bottom temperature",3.15382959717294
1997,"Bottom temperature",2.32110276758251
1998,"Bottom temperature",3.07908165357381
1999,"Bottom temperature",1.91216337300048
2000,"Bottom temperature",2.65175009921435
2001,"Bottom temperature",3.02664345366141
2002,"Bottom temperature",3.30110661100636
2003,"Bottom temperature",3.86973038932474
2004,"Bottom temperature",3.29550719963378
2005,"Bottom temperature",3.80900690979619
2006,"Bottom temperature",1.74494386593274
2007,"Bottom temperature",0.884375294867368
2008,"Bottom temperature",0.95258746306805
2009,"Bottom temperature",0.389814627389752
2010,"Bottom temperature",0.263523598182092
2011,"Bottom temperature",2.58906805805575
2012,"Bottom temperature",0.198976316140551
2013,"Bottom temperature",0.917906101003856
2014,"Bottom temperature",3.12375308511508
2015,"Bottom temperature",3.51975913682511
2016,"Bottom temperature",4.5510530503275
2017,"Bottom temperature",2.18280776826091
2018,"Bottom temperature",4.40859210533439
2019,"Bottom temperature",4.26409492513498
2020,"Bottom temperature",NA
2021,"Bottom temperature",3.97156217864133
2022,"Bottom temperature",1.94991405776617
2023,"Bottom temperature",2.95349921983116
2024,"Bottom temperature",2.5559197334846
2025,"Bottom temperature",2.68733783017819
1988,"Pacific cod",5.99935567151452
1988,"Arctic groundfish",6.73496547094711
1989,"Pacific cod",6.72330354773251
1989,"Arctic groundfish",6.47237313746099
1990,"Pacific cod",5.63210627829165
1990,"Arctic groundfish",6.76803333270582
1991,"Pacific cod",5.75548282447332
1991,"Arctic groundfish",6.72194939323456
1992,"Pacific cod",5.60455195856569
1992,"Arctic groundfish",6.82613830570586
1993,"Pacific cod",6.43598918558428
1993,"Arctic groundfish",6.8935948175546
1994,"Pacific cod",6.16478845962989
1994,"Arctic groundfish",6.95972485481135
1995,"Pacific cod",5.50253471856954
1995,"Arctic groundfish",6.63001004756599
1996,"Pacific cod",6.83160631198796
1996,"Arctic groundfish",6.80636872846927
1997,"Pacific cod",6.42184682335323
1997,"Arctic groundfish",6.83774074690727
1998,"Pacific cod",6.45405712752565
1998,"Arctic groundfish",6.61398589177801
1999,"Pacific cod",5.56342605745967
1999,"Arctic groundfish",6.34463514902322
2000,"Pacific cod",6.16396632783691
2000,"Arctic groundfish",6.30596561749511
2001,"Pacific cod",6.53154258328482
2001,"Arctic groundfish",6.59919760621306
2002,"Pacific cod",6.87230842801534
2002,"Arctic groundfish",6.18498607631459
2003,"Pacific cod",6.82160476343744
2003,"Arctic groundfish",6.1758682121314
2004,"Pacific cod",6.6839086766354
2004,"Arctic groundfish",6.48275714276747
2005,"Pacific cod",6.79487099491156
2005,"Arctic groundfish",6.45121144196335
2006,"Pacific cod",5.93255411894242
2006,"Arctic groundfish",6.391213864055
2007,"Pacific cod",5.9086547979108
2007,"Arctic groundfish",6.30702585866033
2008,"Pacific cod",5.58001816224243
2008,"Arctic groundfish",6.06252485315265
2009,"Pacific cod",5.52208278412496
2009,"Arctic groundfish",5.69451331370738
2010,"Pacific cod",5.43464928847943
2010,"Arctic groundfish",6.13131256811164
2011,"Pacific cod",6.49463057259956
2011,"Arctic groundfish",6.25697534311806
2012,"Pacific cod",5.48605325395568
2012,"Arctic groundfish",6.27099704505176
2013,"Pacific cod",5.83610315341971
2013,"Arctic groundfish",6.03907954110054
2014,"Pacific cod",6.9464218344888
2014,"Arctic groundfish",6.27539521867647
2015,"Pacific cod",6.68792533810445
2015,"Arctic groundfish",6.21234754241954
2016,"Pacific cod",7.369975999607
2016,"Arctic groundfish",6.47116338428019
2017,"Pacific cod",6.68498581032492
2017,"Arctic groundfish",6.41301201835222
2018,"Pacific cod",6.54112377564573
2018,"Arctic groundfish",6.29264683630383
2019,"Pacific cod",6.86647294968439
2019,"Arctic groundfish",6.20933551687838
2021,"Pacific cod",7.06116329523466
2021,"Arctic groundfish",5.86117138126707
2022,"Pacific cod",6.77706129510688
2022,"Arctic groundfish",5.67276621356352
2023,"Pacific cod",6.5283286565664
2023,"Arctic groundfish",5.62375150430336
2024,"Pacific cod",6.6964327968478
2024,"Arctic groundfish",5.32946126869638
2025,"Pacific cod",6.66720449345198
2025,"Arctic groundfish",5.72589380410551
2000,"small copepods",16.9696463272084
2003,"small copepods",11.5699598862723
2004,"small copepods",14.9396033160781
2005,"small copepods",13.3419137037643
2006,"small copepods",14.2900359711254
2007,"small copepods",15.0532988337613
2008,"small copepods",16.8851742661788
2009,"small copepods",16.7719247866607
2010,"small copepods",17.5320224208599
2011,"small copepods",17.3191471795431
2012,"small copepods",17.1936909242102
2014,"small copepods",14.9507305651047
2015,"small copepods",14.0674826648534
2016,"small copepods",13.2749301942594
2017,"small copepods",15.2125362152905
2018,"small copepods",11.5858378494698
2019,"small copepods",13.5569485332533
2020,"small copepods",15.1747795896004
2022,"small copepods",13.4558829154331
2023,"small copepods",14.3750758600711
2000,"large copepods",22.235095783866
2003,"large copepods",22.0669506602684
2004,"large copepods",22.1645119250959
2005,"large copepods",22.3282814257796
2006,"large copepods",21.679107735738
2007,"large copepods",22.1459960841856
2008,"large copepods",21.5019239048673
2009,"large copepods",21.8782887653441
2010,"large copepods",21.6280042173068
2011,"large copepods",21.6413228905973
2012,"large copepods",21.3399599267311
2014,"large copepods",22.500219888332
2015,"large copepods",21.7499926355436
2016,"large copepods",23.1481127560935
2017,"large copepods",22.466639107561
2018,"large copepods",23.0112504034629
2019,"large copepods",23.2421152911869
2020,"large copepods",22.50554114546
2022,"large copepods",22.5201276786074
2023,"large copepods",22.198531302453
