"","year","name","value"
"1",1988,"Pacific cod",5.99935567151452
"2",1988,"Arctic groundfish",6.73496547094711
"3",1989,"Pacific cod",6.72330354773251
"4",1989,"Arctic groundfish",6.47237313746099
"5",1990,"Pacific cod",5.63210627829165
"6",1990,"Arctic groundfish",6.76803333270582
"7",1991,"Pacific cod",5.75548282447332
"8",1991,"Arctic groundfish",6.72194939323456
"9",1992,"Pacific cod",5.60455195856569
"10",1992,"Arctic groundfish",6.82613830570586
"11",1993,"Pacific cod",6.43598918558428
"12",1993,"Arctic groundfish",6.8935948175546
"13",1994,"Pacific cod",6.16478845962989
"14",1994,"Arctic groundfish",6.95972485481135
"15",1995,"Pacific cod",5.50253471856954
"16",1995,"Arctic groundfish",6.63001004756599
"17",1996,"Pacific cod",6.83160631198796
"18",1996,"Arctic groundfish",6.80636872846927
"19",1997,"Pacific cod",6.42184682335323
"20",1997,"Arctic groundfish",6.83774074690727
"21",1998,"Pacific cod",6.45405712752565
"22",1998,"Arctic groundfish",6.61398589177801
"23",1999,"Pacific cod",5.56342605745967
"24",1999,"Arctic groundfish",6.34463514902322
"25",2000,"Pacific cod",6.16396632783691
"26",2000,"Arctic groundfish",6.30596561749511
"27",2001,"Pacific cod",6.53154258328482
"28",2001,"Arctic groundfish",6.59919760621306
"29",2002,"Pacific cod",6.87230842801534
"30",2002,"Arctic groundfish",6.18498607631459
"31",2003,"Pacific cod",6.82160476343744
"32",2003,"Arctic groundfish",6.1758682121314
"33",2004,"Pacific cod",6.6839086766354
"34",2004,"Arctic groundfish",6.48275714276747
"35",2005,"Pacific cod",6.79487099491156
"36",2005,"Arctic groundfish",6.45121144196335
"37",2006,"Pacific cod",5.93255411894242
"38",2006,"Arctic groundfish",6.391213864055
"39",2007,"Pacific cod",5.9086547979108
"40",2007,"Arctic groundfish",6.30702585866033
"41",2008,"Pacific cod",5.58001816224243
"42",2008,"Arctic groundfish",6.06252485315265
"43",2009,"Pacific cod",5.52208278412496
"44",2009,"Arctic groundfish",5.69451331370738
"45",2010,"Pacific cod",5.43464928847943
"46",2010,"Arctic groundfish",6.13131256811164
"47",2011,"Pacific cod",6.49463057259956
"48",2011,"Arctic groundfish",6.25697534311806
"49",2012,"Pacific cod",5.48605325395568
"50",2012,"Arctic groundfish",6.27099704505176
"51",2013,"Pacific cod",5.83610315341971
"52",2013,"Arctic groundfish",6.03907954110054
"53",2014,"Pacific cod",6.9464218344888
"54",2014,"Arctic groundfish",6.27539521867647
"55",2015,"Pacific cod",6.68792533810445
"56",2015,"Arctic groundfish",6.21234754241954
"57",2016,"Pacific cod",7.369975999607
"58",2016,"Arctic groundfish",6.47116338428019
"59",2017,"Pacific cod",6.68498581032492
"60",2017,"Arctic groundfish",6.41301201835222
"61",2018,"Pacific cod",6.54112377564573
"62",2018,"Arctic groundfish",6.29264683630383
"63",2019,"Pacific cod",6.86647294968439
"64",2019,"Arctic groundfish",6.20933551687838
"65",2021,"Pacific cod",7.06116329523466
"66",2021,"Arctic groundfish",5.86117138126707
"67",2022,"Pacific cod",6.77706129510688
"68",2022,"Arctic groundfish",5.67276621356352
"69",2023,"Pacific cod",6.5283286565664
"70",2023,"Arctic groundfish",5.62375150430336
"71",2024,"Pacific cod",6.6964327968478
"72",2024,"Arctic groundfish",5.32946126869638
"73",2025,"Pacific cod",6.66720449345198
"74",2025,"Arctic groundfish",5.72589380410551
