"year","name","value"
1972,"Jan-Feb ice cover",0.13460390170722
1972,"Mar-Apr ice cover",1.11032704655283
1973,"Jan-Feb ice cover",0.2020867891163
1973,"Mar-Apr ice cover",1.05086552925445
1974,"Jan-Feb ice cover",0.412949620903121
1974,"Mar-Apr ice cover",0.905912520823074
1975,"Jan-Feb ice cover",1.20148453096094
1975,"Mar-Apr ice cover",1.78655819516393
1976,"Jan-Feb ice cover",1.77147133539126
1976,"Mar-Apr ice cover",2.03119845823429
1977,"Jan-Feb ice cover",0.978463346411109
1977,"Mar-Apr ice cover",0.732530389573765
1978,"Jan-Feb ice cover",-0.353370854259689
1978,"Mar-Apr ice cover",-0.280581629681241
1979,"Jan-Feb ice cover",-1.87574495402572
1979,"Mar-Apr ice cover",-1.4663879976576
1980,"Jan-Feb ice cover",0.58366985913649
1980,"Mar-Apr ice cover",0.0244718389756895
1981,"Jan-Feb ice cover",0.420977208962306
1981,"Mar-Apr ice cover",-0.638867429171023
1982,"Jan-Feb ice cover",-0.69185182598032
1982,"Mar-Apr ice cover",-0.890867651902043
1983,"Jan-Feb ice cover",0.320173056352577
1983,"Mar-Apr ice cover",-0.134513143412563
1984,"Jan-Feb ice cover",-0.500425531626981
1984,"Mar-Apr ice cover",0.667905501286323
1985,"Jan-Feb ice cover",-2.02399608855676
1985,"Mar-Apr ice cover",-0.00542044828488919
1986,"Jan-Feb ice cover",-0.728611131051631
1986,"Mar-Apr ice cover",-0.186460847862684
1987,"Jan-Feb ice cover",-0.704003865014367
1987,"Mar-Apr ice cover",-0.591198869318378
1988,"Jan-Feb ice cover",-0.489334673784807
1988,"Mar-Apr ice cover",0.581422802685164
1989,"Jan-Feb ice cover",-0.444442076332657
1989,"Mar-Apr ice cover",-1.71567713227188
1990,"Jan-Feb ice cover",0.529027151026433
1990,"Mar-Apr ice cover",0.131549675089574
1991,"Jan-Feb ice cover",0.857382783880656
1991,"Mar-Apr ice cover",0.566740397745548
1992,"Jan-Feb ice cover",0.313514941870935
1992,"Mar-Apr ice cover",0.875316943064074
1993,"Jan-Feb ice cover",-0.0385898325164973
1993,"Mar-Apr ice cover",-0.217161225392888
1994,"Jan-Feb ice cover",-0.432017720673558
1994,"Mar-Apr ice cover",0.549936486059635
1995,"Jan-Feb ice cover",0.970721807503718
1995,"Mar-Apr ice cover",0.773896221211438
1996,"Jan-Feb ice cover",-0.537674051263079
1996,"Mar-Apr ice cover",-1.26867466261188
1997,"Jan-Feb ice cover",0.0521180432503312
1997,"Mar-Apr ice cover",0.0605944901758161
1998,"Jan-Feb ice cover",1.18299096913955
1998,"Mar-Apr ice cover",-0.29011615561638
1999,"Jan-Feb ice cover",0.273257409586275
1999,"Mar-Apr ice cover",0.480160703486627
2000,"Jan-Feb ice cover",1.00781666891004
2000,"Mar-Apr ice cover",-0.509366968507239
2001,"Jan-Feb ice cover",-1.90638157847796
2001,"Mar-Apr ice cover",-1.26424831224999
2002,"Jan-Feb ice cover",1.56132847285322
2002,"Mar-Apr ice cover",-0.839079259822278
2003,"Jan-Feb ice cover",-0.600412063412639
2003,"Mar-Apr ice cover",-0.855854505830278
2004,"Jan-Feb ice cover",-0.610805272082962
2004,"Mar-Apr ice cover",-0.561972833761113
2005,"Jan-Feb ice cover",-1.02333943391281
2005,"Mar-Apr ice cover",-0.560301571857908
2006,"Jan-Feb ice cover",1.04011890845309
2006,"Mar-Apr ice cover",-0.351065320978141
2007,"Jan-Feb ice cover",-0.0307848102668439
2007,"Mar-Apr ice cover",0.0609371039292758
2008,"Jan-Feb ice cover",0.296119448870135
2008,"Mar-Apr ice cover",1.23329925881764
2009,"Jan-Feb ice cover",1.20204643515056
2009,"Mar-Apr ice cover",0.410360359415687
2010,"Jan-Feb ice cover",0.646709679903993
2010,"Mar-Apr ice cover",1.04626584514208
2011,"Jan-Feb ice cover",-0.155177034671886
2011,"Mar-Apr ice cover",-0.511836418737315
2012,"Jan-Feb ice cover",1.25478331726287
2012,"Mar-Apr ice cover",1.35093193253911
2013,"Jan-Feb ice cover",0.763546098902484
2013,"Mar-Apr ice cover",0.819435214353761
2014,"Jan-Feb ice cover",-0.850113059077829
2014,"Mar-Apr ice cover",-0.693306778104134
2015,"Jan-Feb ice cover",-1.5190682081847
2015,"Mar-Apr ice cover",-0.723598397774164
2016,"Jan-Feb ice cover",-1.57866935987495
2016,"Mar-Apr ice cover",-1.02062347250204
2017,"Jan-Feb ice cover",-1.45819087389496
2017,"Mar-Apr ice cover",-0.878134538288394
2018,"Jan-Feb ice cover",-2.23211581888983
2018,"Mar-Apr ice cover",-2.61545973835477
2019,"Jan-Feb ice cover",-1.66339397806839
2019,"Mar-Apr ice cover",-2.74538353223588
2020,"Jan-Feb ice cover",-0.442367358097982
2020,"Mar-Apr ice cover",-1.07994199610557
2021,"Jan-Feb ice cover",-0.871269601931814
2021,"Mar-Apr ice cover",-0.932684088022697
2022,"Jan-Feb ice cover",0.371959895116201
2022,"Mar-Apr ice cover",-0.482784228473897
2023,"Jan-Feb ice cover",-0.320843878090046
2023,"Mar-Apr ice cover",-0.623166207395716
2024,"Jan-Feb ice cover",-0.517059382275814
2024,"Mar-Apr ice cover",-0.294105237906506
