"","STATION_ID","LATITUDE","LONGITUDE","AVG_CPUE"
"1","E-18",56.332915,-168.26402,1808.46317309923
"2","F-02",56.678585,-167.077945,1517.89486406964
"3","F-19",56.6657,-168.915265,4408.40253426492
"4","G-01",56.98443,-167.708065,2143.12270733977
"5","G-02",56.989715,-167.054415,3182.52075245739
"6","G-04",57.01136,-165.854065,1683.34936124298
"7","G-05",56.99424,-165.2273,1636.24675817437
"8","G-18",56.99611,-168.34458,6987.96701536336
"9","G-19",56.99151,-168.958235,3310.93748277751
"10","G-20",56.9945,-169.554275,3088.00726394034
"11","H-01",57.32565,-167.746535,12370.9568597993
"12","H-02",57.332435,-167.112775,13681.2870945274
"13","H-03",57.33001,-166.491335,8158.2566029609
"14","H-04",57.34691,-165.867415,8217.14082750456
"15","H-05",57.320265,-165.23835,4642.16415986908
"16","H-06",57.31172,-164.623045,2725.14792292424
"17","H-18",57.322005,-168.367935,17133.0514958237
"18","H-19",57.335355,-168.97231,2348.89370081631
"19","H-20",57.332345,-169.628025,38098.9959090318
"20","H-22",57.330635,-170.856585,4795.93489015093
"21","I-01",57.65412,-167.75873,26092.3250579009
"22","I-02",57.660965,-167.118305,34560.0926455426
"23","I-03",57.661345,-166.50705,20177.2351679903
"24","I-04",57.68004,-165.8883,27067.3881250262
"25","I-05",57.67889,-165.249175,16899.9526497108
"26","I-06",57.652665,-164.61768,2769.44955351258
"27","I-07",57.671825,-163.977185,1944.63013788519
"28","I-18",57.65931,-168.403495,43138.906096245
"29","I-19",57.672085,-169.033635,51577.0936587086
"30","I-20",57.66519,-169.656155,50209.3562947781
"31","I-21",57.652595,-170.265245,14997.8508150829
"32","I-22",57.664105,-170.891365,5376.45068623656
"33","I-24",57.671605,-172.17328,1727.61347075108
"34","J-01",57.985585,-167.814755,83385.6108406547
"35","J-02",57.987295,-167.161625,59359.4657656808
"36","J-03",58.00868,-166.52884,34052.150717732
"37","J-04",57.993835,-165.91192,20295.4547371144
"38","J-05",58.01347,-165.252135,1706.62614534849
"39","J-06",57.985165,-164.61398,2938.07810227608
"40","J-18",58.009775,-168.440875,68529.1851476308
"41","J-19",58.005305,-169.08591,44644.4420391004
"42","J-20",58.005875,-169.70077,77354.8373510253
"43","J-21",57.98982,-170.32876,74906.4151295431
"44","J-22",58.001605,-170.96907,9470.85348055515
"45","J-23",58.00583,-171.593045,2785.7450883039
"46","J-24",57.99641,-172.259285,2765.99510757569
"47","J-25",58.01378,-172.840815,2271.34463633261
"48","K-01",58.329085,-167.838315,30897.1830934418
"49","K-02",58.315795,-167.197645,8607.59438590634
"50","K-03",58.345125,-166.561315,5020.56580822174
"51","K-04",58.33656,-165.91844,6494.17636676423
"52","K-05",58.331115,-165.290875,5638.81334676944
"53","K-06",58.310675,-164.629545,3457.77618652822
"54","K-18",58.308915,-168.459015,66021.4212771134
"55","K-19",58.33591,-169.1246,76595.7205643912
"56","K-20",58.33916,-169.72913,32381.815662259
"57","K-21",58.326305,-170.38918,85449.1024183295
"58","K-22",58.330625,-171.01702,21701.0506205328
"59","K-23",58.346485,-171.65334,3477.28901606991
"60","K-24",58.350845,-172.296145,5266.68629695045
"61","K-25",58.3209,-172.93553,2552.91929614101
"62","L-01",58.662985,-167.877875,9202.90169237748
"63","L-03",58.676755,-166.559165,3546.38003642451
"64","L-18",58.665415,-168.49532,65143.1401434843
"65","L-19",58.67161,-169.161245,51684.2295898405
"66","L-20",58.668725,-169.786505,61601.2522738471
"67","L-21",58.662345,-170.43126,61649.7287162124
"68","L-22",58.66811,-171.08602,44015.9107453305
"69","L-23",58.66938,-171.715145,5775.70644862302
"70","L-24",58.67781,-172.36717,3363.91099840167
"71","L-25",58.650575,-172.98576,2116.87756583174
"72","L-27",58.67012,-174.268005,5868.17333464739
"73","L-28",58.75051,-174.946995,1393.62773135674
"74","L-29",58.67359,-175.533395,1370.47919649573
"75","M-01",58.986375,-167.901175,11744.359892542
"76","M-18",58.98955,-168.535735,21841.9783616311
"77","M-19",59.01193,-169.179475,48972.417043289
"78","M-20",58.99643,-169.83571,76863.9075506577
"79","M-21",58.989335,-170.477475,98202.8878391426
"80","M-22",58.98575,-171.135855,52164.2370136851
"81","M-23",59.00164,-171.78198,14668.3760908116
"82","M-24",59.01091,-172.442535,3905.04068487199
"83","M-25",58.98877,-173.079855,2383.34497579138
"84","M-27",59.000745,-174.382515,2417.76429524707
"85","M-30",59.010365,-176.349145,1497.56310564519
"86","N-01",59.312545,-167.93398,5434.09033649313
"87","N-18",59.321485,-168.58588,18014.1633230069
"88","N-19",59.33915,-169.24252,32593.1052320898
"89","N-20",59.325815,-169.88594,71902.3721847752
"90","N-21",59.32001,-170.52948,113675.762124166
"91","N-22",59.33329,-171.19173,63577.4115101792
"92","N-23",59.35727,-171.82074,28571.2529983012
"93","N-24",59.334515,-172.51683,14850.7704485003
"94","N-25",59.326045,-173.15163,4570.19101681915
"95","N-26",59.32609,-173.80514,3072.98604955813
"96","N-27",59.321985,-174.434005,2958.07053300286
"97","N-28",59.337435,-175.096245,2876.34316298924
"98","O-18",59.643335,-168.6282,19811.7156821653
"99","O-19",59.666255,-169.27202,39788.1187269557
"100","O-20",59.673695,-169.91835,95532.1580219191
"101","O-21",59.659325,-170.58373,58700.4583747976
"102","O-22",59.661365,-171.251055,58420.1764957089
"103","O-23",59.676585,-171.8946,50260.0386413058
"104","O-24",59.66835,-172.56103,73308.286488105
"105","O-25",59.686405,-173.20225,10827.9057506348
"106","O-26",59.670155,-173.841195,6987.58892532799
"107","O-27",59.662915,-174.45681,2989.18714551409
"108","O-28",59.679965,-175.12022,2810.34202974475
"109","O-29",59.65141,-175.85108,2912.64009248774
"110","O-30",59.6803,-176.55816,3413.80145099976
"111","P-18",60.00336,-168.680925,29293.5949692499
"112","P-19",59.995715,-169.30261,33752.4421840933
"113","P-20",60.00827,-169.971595,56052.1275974927
"114","P-21",59.991635,-170.631075,74494.1509765469
"115","P-22",59.985875,-171.295365,80731.3924202013
"116","P-23",59.97364,-171.944905,31449.7083136231
"117","P-24",59.989615,-172.58979,76344.2355467702
"118","P-25",60.006885,-173.310575,60305.1913393505
"119","P-26",60.000665,-173.97722,30776.0202505484
"120","P-27",59.981805,-174.584545,9373.95832987835
"121","P-28",60.011465,-175.26673,4575.88788534195
"122","P-29",59.98735,-175.91959,5143.42993450233
"123","P-30",59.98601,-176.700915,3741.39574826164
"124","P-31",60.009455,-177.218865,3541.60428265103
"125","P-32",60.004525,-177.89231,1843.60677150687
"126","Q-18",60.33374,-168.62053,11750.8537505011
"127","Q-19",60.33415,-169.303425,42446.9278631416
"128","Q-20",60.329995,-170.01356,115349.403239616
"129","Q-21",60.31845,-170.654575,137170.846776472
"130","Q-22",60.334165,-171.332975,129878.016858166
"131","Q-23",60.346635,-172.067035,54787.021976851
"132","Q-25",60.297585,-173.374155,25098.7273768617
"133","Q-26",60.34057,-174.070425,99868.4482723942
"134","Q-27",60.317525,-174.70464,14564.5928836085
"135","Q-28",60.33854,-175.388035,17735.4266600293
"136","Q-29",60.324525,-176.026135,19944.3143363353
"137","Q-30",60.3368,-176.72145,2618.87293655377
"138","Q-31",60.323755,-177.3797,2857.26879794829
"139","R-22",60.654615,-171.4205,154958.946804896
"140","R-23",60.68044,-172.11475,145765.478923214
"141","R-24",60.6777,-172.78795,134160.47488591
"142","R-25",60.65872,-173.469315,53174.8309321372
"143","R-26",60.669995,-174.12725,97798.9501478691
"144","R-27",60.656295,-174.82539,49747.2862387286
"145","R-28",60.681215,-175.458635,18631.4844163509
"146","R-29",60.665645,-176.20071,15528.3889278592
"147","R-30",60.65664,-176.79445,18762.7264575434
"148","R-31",60.66455,-177.509485,6468.19746641722
"149","R-32",60.669515,-178.11975,1651.45232009101
"150","S-22",60.97536,-171.49696,196142.028337907
"151","S-23",61.001175,-172.13922,160284.620681422
"152","S-24",60.997365,-172.779025,194781.091387471
"153","S-25",61.007225,-173.49849,145720.6946187
"154","S-26",61.01246,-174.190285,142853.438217944
"155","S-27",60.98117,-174.876775,76765.0739830576
"156","S-28",61.00998,-175.54969,40070.5559225506
"157","S-29",60.97676,-176.268855,36675.1439292531
"158","S-30",61.008955,-176.98434,29217.1518221309
"159","S-31",60.996745,-177.638695,10070.5355879889
