"","STATION_ID","LATITUDE","LONGITUDE","AVG_CPUE"
"1","E-18",56.332915,-168.26402,1768.27510258592
"2","F-02",56.678585,-167.077945,1484.16386709031
"3","F-19",56.6657,-168.915265,4357.82695792401
"4","G-01",56.98443,-167.708065,2166.84315261949
"5","G-02",56.989715,-167.054415,3120.15693175482
"6","G-04",57.01136,-165.854065,1645.9415976598
"7","G-05",56.99424,-165.2273,1601.76212354448
"8","G-18",56.99611,-168.34458,6853.75697096438
"9","G-19",56.99151,-168.958235,3370.2032548555
"10","G-20",56.9945,-169.554275,3153.28458323362
"11","H-01",57.32565,-167.746535,12283.0646961668
"12","H-02",57.332435,-167.112775,13481.5579263052
"13","H-03",57.33001,-166.491335,8005.60415869434
"14","H-04",57.34691,-165.867415,8045.50181443663
"15","H-05",57.320265,-165.23835,4540.9025897145
"16","H-06",57.31172,-164.623045,2664.58908019259
"17","H-18",57.322005,-168.367935,16950.0455765743
"18","H-19",57.335355,-168.97231,3324.94392251394
"19","H-20",57.332345,-169.628025,37543.945628201
"20","H-22",57.330635,-170.856585,4697.28337700825
"21","I-01",57.65412,-167.75873,26004.9502112005
"22","I-02",57.660965,-167.118305,34328.8546774356
"23","I-03",57.661345,-166.50705,19758.8275439008
"24","I-04",57.68004,-165.8883,26477.959795198
"25","I-05",57.67889,-165.249175,16524.3981463839
"26","I-06",57.652665,-164.61768,2707.90623010119
"27","I-07",57.671825,-163.977185,1903.26985169866
"28","I-18",57.65931,-168.403495,43430.3192327085
"29","I-19",57.672085,-169.033635,55668.2004831957
"30","I-20",57.66519,-169.656155,52509.1494894404
"31","I-21",57.652595,-170.265245,14927.300894457
"32","I-22",57.664105,-170.891365,5954.57579192265
"33","I-23",57.677395,-171.52829,1357.15226679656
"34","I-24",57.671605,-172.17328,1689.22206028995
"35","J-01",57.985585,-167.814755,81757.4986383351
"36","J-02",57.987295,-167.161625,58159.2200693775
"37","J-03",58.00868,-166.52884,33442.9672134837
"38","J-04",57.993835,-165.91192,19869.03690101
"39","J-05",58.01347,-165.252135,1668.70111989631
"40","J-06",57.985165,-164.61398,2872.78747778105
"41","J-18",58.009775,-168.440875,70526.0767174724
"42","J-19",58.005305,-169.08591,51044.6430035359
"43","J-20",58.005875,-169.70077,83224.3964458844
"44","J-21",57.98982,-170.32876,77918.1527391352
"45","J-22",58.001605,-170.96907,12076.2605147664
"46","J-23",58.00583,-171.593045,2742.97210709427
"47","J-24",57.99641,-172.259285,2709.89206686065
"48","J-25",58.01378,-172.840815,2220.87031108077
"49","K-01",58.329085,-167.838315,30216.0563922297
"50","K-02",58.315795,-167.197645,8416.31451066397
"51","K-03",58.345125,-166.561315,4908.99767915014
"52","K-04",58.33656,-165.91844,6349.86133639169
"53","K-05",58.331115,-165.290875,5513.50638350789
"54","K-06",58.310675,-164.629545,3380.93671571648
"55","K-18",58.308915,-168.459015,64644.78595118
"56","K-19",58.33591,-169.1246,82782.307956672
"57","K-20",58.33916,-169.72913,38876.6390546374
"58","K-21",58.326305,-170.38918,86091.0177627686
"59","K-22",58.330625,-171.01702,22769.2811305393
"60","K-23",58.346485,-171.65334,7992.81975528811
"61","K-24",58.350845,-172.296145,5226.54595324594
"62","K-25",58.3209,-172.93553,2496.18775622676
"63","L-01",58.662985,-167.877875,8993.74483573253
"64","L-03",58.676755,-166.559165,3465.78049014213
"65","L-18",58.665415,-168.49532,63695.5148069624
"66","L-19",58.67161,-169.161245,51300.8019745151
"67","L-20",58.668725,-169.786505,71079.4243654009
"68","L-21",58.662345,-170.43126,65597.9146085609
"69","L-22",58.66811,-171.08602,48260.5054943666
"70","L-23",58.66938,-171.715145,6842.10593096382
"71","L-24",58.67781,-172.36717,3289.15742065941
"72","L-25",58.650575,-172.98576,2069.83584214659
"73","L-27",58.67012,-174.268005,5737.76948276633
"74","L-28",58.75051,-174.946995,1361.21778411588
"75","M-01",58.986375,-167.901175,11471.2352438782
"76","M-18",58.98955,-168.535735,21345.5697625031
"77","M-19",59.01193,-169.179475,47868.4265140309
"78","M-20",58.99643,-169.83571,82519.115263901
"79","M-21",58.989335,-170.477475,110208.857216331
"80","M-22",58.98575,-171.135855,57024.1095998956
"81","M-23",59.00164,-171.78198,14917.462776167
"82","M-24",59.01091,-172.442535,3822.90135545823
"83","M-25",58.98877,-173.079855,2331.841729896
"84","M-27",59.000745,-174.382515,2365.45138749104
"85","M-30",59.010365,-176.349145,1465.12068133709
"86","N-01",59.312545,-167.93398,5307.7161426212
"87","N-18",59.321485,-168.58588,17604.7505202113
"88","N-19",59.33915,-169.24252,31855.8405441086
"89","N-20",59.325815,-169.88594,73083.3849877939
"90","N-21",59.32001,-170.52948,130870.001112898
"91","N-22",59.33329,-171.19173,66498.6490944136
"92","N-23",59.35727,-171.82074,28949.7446540574
"93","N-24",59.334515,-172.51683,16744.8983555327
"94","N-25",59.326045,-173.15163,4477.91833681744
"95","N-26",59.32609,-173.80514,3020.28220240759
"96","N-27",59.321985,-174.434005,2892.33563226946
"97","N-28",59.337435,-175.096245,2813.95839795361
"98","O-18",59.643335,-168.6282,19361.4494166616
"99","O-19",59.666255,-169.27202,38883.8433013431
"100","O-20",59.673695,-169.91835,93711.9580049234
"101","O-21",59.659325,-170.58373,65025.256260138
"102","O-22",59.661365,-171.251055,63137.2084531221
"103","O-23",59.676585,-171.8946,50056.7837409085
"104","O-24",59.66835,-172.56103,73419.5637650815
"105","O-25",59.686405,-173.20225,10707.6067874466
"106","O-26",59.670155,-173.841195,6870.82867428712
"107","O-27",59.662915,-174.45681,2922.76076450266
"108","O-28",59.679965,-175.12022,2827.58071507461
"109","O-29",59.65141,-175.85108,2851.13100053512
"110","O-30",59.6803,-176.55816,3345.96601217244
"111","P-18",60.00336,-168.680925,28627.8314472215
"112","P-19",59.995715,-169.30261,32985.3412253639
"113","P-20",60.00827,-169.971595,54789.8477078685
"114","P-21",59.991635,-170.631075,88460.2706061232
"115","P-22",59.985875,-171.295365,80650.2900197672
"116","P-23",59.97364,-171.944905,32348.784797124
"117","P-24",59.989615,-172.58979,82379.2319888713
"118","P-25",60.006885,-173.310575,60930.4319505396
"119","P-26",60.000665,-173.97722,30402.1813785392
"120","P-27",59.981805,-174.584545,9165.64814476994
"121","P-28",60.011465,-175.26673,4525.30292115598
"122","P-29",59.98735,-175.91959,5054.71761043359
"123","P-30",59.98601,-176.700915,3832.45237980419
"124","P-31",60.009455,-177.218865,3472.95661813683
"125","P-32",60.004525,-177.89231,1813.51298298342
"126","Q-18",60.33374,-168.62053,11483.7888925351
"127","Q-19",60.33415,-169.303425,41482.2249571611
"128","Q-20",60.329995,-170.01356,112740.460818073
"129","Q-21",60.31845,-170.654575,145437.150555161
"130","Q-22",60.334165,-171.332975,128619.932825873
"131","Q-23",60.346635,-172.067035,56017.6605729537
"132","Q-25",60.297585,-173.374155,25225.2594297492
"133","Q-26",60.34057,-174.070425,98667.4238603187
"134","Q-27",60.317525,-174.70464,14406.8532306723
"135","Q-28",60.33854,-175.388035,17351.7106528954
"136","Q-29",60.324525,-176.026135,19512.2454146351
"137","Q-30",60.3368,-176.72145,2565.83520250269
"138","Q-31",60.323755,-177.3797,2797.24530046655
